track_name,artists,year,duration,tempo,track_genre,popularity
No More Tears (Enough Is Enough),Barbra Streisand&Donna Summer,1980,7:43,120.0,disco,78
More Love,Kim Carnes,1980,4:06,100.0,pop,67
Pop Muzik,M,1980,3:11,125.0,synth-pop,71
Rock with You,Michael Jackson,1980,3:58,112.0,pop,90
Do That to Me One More Time,Captain & Tennille,1980,3:34,95.0,pop,65
Don't Do Me Like That,Tom Petty and the Heartbreakers,1980,3:40,130.0,Rock,70
She's Out of My Life,Michael Jackson,1980,3:36,68.0,Pop,80
Fame,Irene Cara,1980,3:35,116.0,Pop,60
Fire Lake,Bob Seger and the Silver Bullet Band,1980,4:10,105.0,Rock,55
The Rose,Bette Midler,1980,3:56,80.0,ballad,82
Biggest Part of Me,Ambrosia,1980,4:03,100.0,soft rock,68
The Second Time Around,Shalamar,1980,3:55,102.0,funk,69
We Don't Talk Anymore,Cliff Richard,1980,4:14,105.0,pop,68
Stomp!,The Brothers Johnson,1980,4:09,112.0,funk,70
How Do I Make You,Linda Ronstadt,1980,3:35,125.0,Pop,58
Into the Night,Benny Mardones,1980,4:20,95.0,Pop,68
Let Me Love You Tonight,Pure Prairie League,1980,3:30,85.0,Country,45
Misunderstanding,Genesis,1980,3:45,100.0,Rock,52
An American Dream,The Dirt Band,1980,3:30,115.0,Country,40
Cars,Gary Numan,1980,3:44,130.0,synth-pop,73
Cruisin,Smokey Robinson,1980,4:04,105.0,soul,77
Tusk,Fleetwood Mac,1980,3:35,130.0,rock,70
I Wanna Be Your Lover,Prince,1980,2:59,110.0,funk,80
In America,Charlie Daniels Band,1980,3:37,118.0,country rock,73
Breakdown Dead Ahead,Boz Scaggs,1980,4:29,105.0,blue-eyed soul,65
Don't Fall in Love with a Dreamer,Kenny Rogers&Kim Carnes,1980,3:55,110.0,country,65
Sailing,Christopher Cross,1980,4:25,115.0,soft rock,70
Longer,Dan Fogelberg,1980,3:34,105.0,folk rock,68
Coward of the County,Kenny Rogers,1980,4:34,118.0,country,72
Ladies' Night,Kool & the Gang,1980,3:36,110.0,funk,75
You're Only Lonely,JD Souther,1980,4:32,100.0,country rock,65
Desire,Andy Gibb,1980,3:44,120.0,pop,62
Let My Love Open the Door,Pete Townshend,1980,3:35,122.0,rock,70
Romeo's Tune,Steve Forbert,1980,3:45,115.0,new wave,67
Daydream Believer,Anne Murray,1980,2:55,110.0,Pop,65
I Can't Tell You Why,Eagles,1980,4:50,70.0,Rock,75
Don't Let Go,Isaac Hayes,1980,8:32,78.0,Soul,50
"Another Brick in the Wall, Part II",Pink Floyd,1980,3:59,100.0,rock,85
Magic,Olivia Newton-John,1980,4:30,125.0,pop,70
On the Radio,Donna Summer,1980,4:58,108.0,disco,74
Emotional Rescue,The Rolling Stones,1980,4:57,118.0,rock,71
Take the Long Way Home,Supertramp,1980,3:50,92.0,Rock,69
Sara,Fleetwood Mac,1980,3:40,72.0,Rock,63
Wait for Me,Daryl Hall & John Oates,1980,4:40,108.0,Pop,66
Jojo,Boz Scaggs,1980,4:10,100.0,Soul,47
September Morn,Neil Diamond,1980,3:40,82.0,Pop,54
Give Me the Night,George Benson,1980,5:07,115.0,disco,75
Broken Hearted Me,Anne Murray,1980,3:45,70.0,country,68
You Decorated My Life,Kenny Rogers,1980,3:38,72.0,country,72
Against the Wind,Bob Seger and the Silver Bullet Band,1980,5:21,100.0,heartland rock,76
Brass in Pocket,The Pretenders,1980,3:15,130.0,new wave,73
Special Lady,"Ray, Goodman & Brown",1980,4:02,98.0,r&b,66
Send One Your Love,Stevie Wonder,1980,4:19,95.0,soul,70
Lost in Love,Air Supply,1980,3:31,70.0,soft rock,79
Little Jeannie,Elton John,1980,4:04,115.0,pop,71
Ride Like the Wind,Christopher Cross,1980,4:26,130.0,soft rock,76
Upside Down,Diana Ross,1980,4:10,115.0,disco,81
Please Don't Go,KC and the Sunshine Band,1980,3:46,105.0,disco,69
Babe,Styx,1980,4:34,85.0,rock,74
With You I'm Born Again,Billy PrestonandSyreeta,1980,3:57,88.0,soul,67
Shining Star,The Manhattans,1980,3:57,90.0,soul,66
A Woman Needs Love (Just Like You Do),Raydio,1981,3:57,100.0,funk,74
Rapture,Blondie,1981,3:21,105.0,new wave hip hop,80
Queen of Hearts,Juice Newton,1981,3:45,130.0,country pop,76
Being with You,Smokey Robinson,1981,3:50,82.0,soul,77
The Boy from New York City,The Manhattan Transfer,1981,3:16,140.0,doo-wop,69
Woman in Love,Barbra Streisand,1981,3:56,98.0,pop,82
Living Inside Myself,Gino Vannelli,1981,4:57,118.0,pop,66
(There's) No Gettin' Over Me,Ronnie Milsap,1981,3:39,102.0,country,77
Take It on the Run,REO Speedwagon,1981,4:32,130.0,rock,79
Elvira,The Oak Ridge Boys,1981,3:17,128.0,country,85
The Best of Times,Styx,1981,4:05,105.0,rock,73
Guilty,Barbra Streisand&Barry Gibb,1981,4:11,110.0,disco,78
The One That You Love,Unknown,1981,4:04,90.0,pop,55
Every Woman in the World,Air Supply,1981,3:37,100.0,soft rock,68
Love on the Rocks,Neil Diamond,1981,4:41,115.0,rock,72
Angel of the Morning,Juice Newton,1981,4:24,95.0,country,75
Stars on 45 Medley,Stars on 45,1981,6:56,125.0,disco,60
The Winner Takes It All,ABBA,1981,4:55,108.0,pop,80
Sukiyaki,A Taste of Honey,1981,4:17,85.0,soul,70
Woman,John Lennon,1981,5:27,120.0,rock,65
Really Wanna Know You,Gary Wright,1981,3:40,118.0,rock,55
Modern Girl,Sheena Easton,1981,3:10,128.0,pop,69
Whip It,Devo,1981,2:33,140.0,new wave,71
The Beach Boys Medley,The Beach Boys,1981,5:00,122.0,pop,68
Time Is Time,Andy Gibb,1981,3:20,132.0,pop,58
Miss Sun,Boz Scaggs,1981,4:05,92.0,soul,63
I'm Coming Out,Diana Ross,1981,3:55,110.0,disco,76
Seven Year Ache,Rosanne Cash,1981,3:45,105.0,country,62
"De Do Do Do, De Da Da Da",The Police,1981,4:09,140.0,Rock,82
This Little Girl,Gary U.S. Bonds,1981,2:50,128.0,Rock,70
Stop Draggin' My Heart Around,Stevie Nicks&Tom Petty,1981,3:55,110.0,Rock,88
Giving It Up for Your Love,Delbert McClinton,1981,3:51,125.0,Blues Rock,58
A Little in Love,Cliff Richard,1981,2:40,100.0,Pop,60
America,Neil Diamond,1981,4:02,112.0,Pop,75
Ain't Even Done with the Night,John Cougar,1981,3:54,118.0,Rock,77
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,3:55,105.0,Soft Rock,80
Another One Bites the Dust,Queen,1981,3:40,110.0,Funk Rock,90
Games People Play,The Alan Parsons Project,1981,4:18,115.0,Progressive Rock,65
I Can't Stand It,Eric Clapton,1981,3:58,120.0,Blues Rock,73
While You See a Chance,Steve Winwood,1981,4:57,130.0,Rock,71
Master Blaster (Jammin'),Stevie Wonder,1981,5:14,105.0,Reggae,79
Hello Again,Neil Diamond,1981,3:44,108.0,Pop,67
Don't Stand So Close to Me,The Police,1981,4:04,155.0,New Wave,88
Hey Nineteen,Steely Dan,1981,3:38,95.0,Jazz Rock,76
I Ain't Gonna Stand for It,Stevie Wonder,1981,4:14,98.0,Soul,74
All Those Years Ago,George Harrison,1981,3:36,125.0,Rock,70
Step By Step,Eddie Rabbitt,1981,2:50,100.0,Country,59
The Stroke,Billy Squier,1981,3:54,128.0,Hard Rock,75
Feels So Right,Alabama,1981,3:28,85.0,Country,66
Sweet Baby,Stanley Clarke&George Duke,1981,5:51,100.0,Jazz Funk,52
Same Old Lang Syne,Dan Fogelberg,1981,5:24,75.0,Folk Rock,63
Cool Love,Pablo Cruise,1981,3:49,110.0,Soft Rock,57
Hold On Tight,Electric Light Orchestra,1981,3:29,125.0,rock,70
It's Now or Never,John Schneider,1981,3:30,110.0,country,50
Treat Me Right,Pat Benatar,1981,2:52,130.0,rock,65
Winning,Santana,1981,3:45,120.0,rock,60
The Tide Is High,Blondie,1981,4:00,115.0,reggae rock,81
Just the Two of Us,"Grover Washington, Jr.&Bill Withers",1981,4:03,94.0,smooth jazz,82
Slow Hand,The Pointer Sisters,1981,3:44,120.0,pop,75
I Love You,Climax Blues Band,1981,4:07,80.0,blues rock,70
Urgent,Foreigner,1981,4:36,135.0,rock,83
Passion,Rod Stewart,1981,3:59,122.0,rock,71
Lady (You Bring Me Up),Commodores,1981,4:32,100.0,funk,67
Crying,Don McLean,1981,4:34,112.0,folk rock,58
Hearts,Marty Balin,1981,3:48,116.0,rock,62
It's My Turn,Diana Ross,1981,4:23,93.0,soul,76
You Make My Dreams,Daryl Hall & John Oates,1981,3:11,145.0,pop,90
I Don't Need You,Kenny Rogers,1981,3:40,106.0,country,74
How 'Bout Us,Champaign,1981,4:13,97.0,soul,64
Hit Me with Your Best Shot,Pat Benatar,1981,3:19,132.0,rock,88
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,1981,3:45,126.0,rock,70
Time,The Alan Parsons Project,1981,4:50,105.0,progressive rock,63
Hungry Heart,Bruce Springsteen,1981,4:02,138.0,rock,86
Sweetheart,Franke and the Knockouts,1981,4:01,100.0,new wave,59
Somebody's Knockin',Terri Gibbs,1981,2:42,120.0,Pop,65
More Than I Can Say,Leo Sayer,1981,3:17,88.0,Pop,72
Bette Davis Eyes,Kim Carnes,1981,3:49,112.0,new wave,85
Endless Love,Diana Ross&Lionel Richie,1981,4:16,70.0,soul,88
Lady,Kenny Rogers,1981,3:35,75.0,country,83
(Just Like) Starting Over,John Lennon,1981,4:00,95.0,pop rock,90
Jessie's Girl,Rick Springfield,1981,3:17,138.0,power pop,86
Celebration,Kool & the Gang,1981,3:47,116.0,funk,87
Kiss on My List,Daryl Hall & John Oates,1981,4:04,110.0,blue-eyed soul,84
I Love a Rainy Night,Eddie Rabbitt,1981,3:03,100.0,country,81
9 To 5,Dolly Parton,1981,2:45,108.0,country pop,89
Keep on Loving You,REO Speedwagon,1981,3:39,78.0,power ballad,83
Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,1981,3:59,114.0,soft rock,78
Morning Train (Nine to Five),Sheena Easton,1981,3:17,112.0,pop,79
Together,Tierra,1981,3:53,105.0,R&B,55
Too Much Time on My Hands,Styx,1981,3:42,125.0,Rock,78
What Are We Doin' in Love,Dottie West&Kenny Rogers,1981,2:54,90.0,Country,68
Who's Crying Now,Journey,1981,5:07,115.0,Rock,85
I Made It Through the Rain,Barry Manilow,1981,4:10,80.0,pop,70
You've Lost That Lovin' Feelin',Daryl Hall & John Oates,1981,4:00,115.0,pop,80
Suddenly,Olivia Newton-John&Cliff Richard,1981,3:50,98.0,pop,73
For Your Eyes Only,Sheena Easton,1981,2:45,135.0,pop,77
What Kind of Fool,Barbra Streisand&Barry Gibb,1981,4:16,85.0,pop,75
Watching the Wheels,John Lennon,1981,3:55,95.0,rock,78
Tell It Like It Is,Heart,1981,3:38,90.0,rock,68
Smoky Mountain Rain,Ronnie Milsap,1981,3:35,100.0,country,72
You Could Have Been with Me,Sheena Easton,1982,3:40,120.0,Pop,75
Our Lips Are Sealed,The Go-Go's,1982,2:40,145.0,New Wave,80
Blue Eyes,Elton John,1982,3:45,98.0,Pop Rock,73
One Hundred Ways,Quincy JonesfeaturingJames Ingram,1982,4:40,85.0,R&B,77
Leather and Lace,Stevie NicksandDon Henley,1982,3:35,88.0,Soft Rock,79
Leader of the Band,Dan Fogelberg,1982,4:00,100.0,Folk Rock,70
Open Arms,Journey,1982,4:20,75.0,Rock,88
Let's Groove,"Earth, Wind & Fire",1982,5:25,126.0,Funk,91
Hooked On Classics,Royal Philharmonic Orchestra,1982,5:00,150.0,Classical,60
Love in the First Degree,Alabama,1982,3:45,112.0,Country,69
Why Do Fools Fall In Love?,Diana Ross,1982,3:20,130.0,Pop,71
Caught Up In You,.38 Special,1982,4:05,125.0,Southern Rock,79
Cool Night,Paul Davis,1982,4:12,100.0,Soft Rock,67
Do You Believe in Love,Huey Lewis and the News,1982,3:36,122.0,Pop Rock,82
Keep the Fire Burnin',REO Speedwagon,1982,4:05,118.0,Arena Rock,68
Freeze-Frame,The J. Geils Band,1982,4:17,140.0,Rock,73
Here I Am,Air Supply,1982,3:55,85.0,Soft Rock,60
Every Little Thing She Does Is Magic,The Police,1982,4:16,145.0,New Wave,80
Crimson and Clover,Joan Jett & The Blackhearts,1982,3:43,110.0,Rock,65
Yesterday's Songs,Neil Diamond,1982,3:06,75.0,Pop,50
Personally,Karla Bonoff,1982,3:40,105.0,Soft Rock,68
Love Is in Control (Finger on the Trigger),Donna Summer,1982,4:00,115.0,Disco,70
Think I'm in Love,Eddie Money,1982,3:50,128.0,Hard Rock,76
Wasted on the Way,"Crosby, Stills & Nash",1982,4:30,95.0,Folk Rock,74
Young Turks,Rod Stewart,1982,4:37,125.0,Rock,78
Love's Been a Little Bit Hard on Me,Juice Newton,1982,3:30,110.0,Country Pop,72
Making Love,Roberta Flack,1982,4:10,90.0,Soul,70
Trouble,Lindsey Buckingham,1982,3:56,115.0,Rock,60
Hurts So Good,John Cougar,1982,3:30,130.0,rock,81
Jack & Diane,John Cougar,1982,3:53,112.0,rock,83
Don't You Want Me,The Human League,1982,3:51,122.0,synth-pop,84
Centerfold,The J. Geils Band,1982,3:37,129.0,rock,80
Ebony and Ivory,Paul McCartneyandStevie Wonder,1982,3:51,100.0,pop,82
I Love Rock 'n Roll,Joan Jett & The Blackhearts,1982,2:56,125.0,rock,86
Eye of the Tiger,Survivor,1982,4:04,109.0,rock,88
Physical,Olivia Newton-John,1982,3:40,138.0,pop,85
867-5309/Jenny,Tommy Tutone,1982,3:40,120.0,Power Pop,87
I Can't Go for That (No Can Do),Daryl Hall & John Oates,1982,3:50,115.0,Pop,90
Rosanna,Toto,1982,5:15,126.0,Rock,88
Harden My Heart,Quarterflash,1982,3:50,110.0,Soft Rock,75
Chariots of Fire,Vangelis,1982,3:20,95.0,Electronic,70
Tainted Love,Soft Cell,1982,2:30,127.0,Synth-pop,85
Hard to Say I'm Sorry,Chicago,1982,3:55,90.0,soft rock,78
Abracadabra,Steve Miller Band,1982,4:10,108.0,rock,79
Goin' Down,Greg Guidry,1982,3:32,110.0,Rock,40
Arthur's Theme (Best That You Can Do),Christopher Cross,1982,3:57,95.0,Soft Rock,65
Through the Years,Kenny Rogers,1982,4:25,70.0,Country,55
Edge of Seventeen,Stevie Nicks,1982,5:27,128.0,Rock,80
Key Largo,Bertie Higgins,1982,3:30,100.0,Soft Rock,78
You Should Hear How She Talks About You,Melissa Manchester,1982,3:20,125.0,Disco,72
Waiting for a Girl Like You,Foreigner,1982,4:50,70.0,Soft Rock,86
Don't Talk to Strangers,Rick Springfield,1982,3:45,118.0,Rock,83
Sweet Dreams,Air Supply,1982,3:40,80.0,Soft Rock,79
Turn Your Love Around,George Benson,1982,4:00,108.0,Smooth Jazz,74
The Other Woman,Ray Parker Jr.,1982,3:50,98.0,R&B,71
We Got the Beat,The Go-Go's,1982,2:45,140.0,New Wave,81
Let It Whip,Dazz Band,1982,4:30,105.0,Funk,76
Shake It Up,The Cars,1982,3:30,130.0,New Wave,82
Always on My Mind,Willie Nelson,1982,3:30,85.0,Country,89
The Sweetest Thing (I've Ever Known),Juice Newton,1982,3:55,90.0,Country,77
Take My Heart (You Can Have It If You Want It),Kool & the Gang,1982,3:58,105.0,Funk,50
Mirror Mirror,Diana Ross,1982,4:00,110.0,Pop,55
Vacation,The Go-Go's,1982,2:58,140.0,New Wave,65
(Oh) Pretty Woman,Van Halen,1982,3:40,130.0,Hard Rock,70
Should I Do It,The Pointer Sisters,1982,3:26,125.0,R&B,50
Hot in the City,Billy Idol,1982,3:35,135.0,Rock,75
Kids in America,Kim Wilde,1982,3:15,150.0,New Wave,70
Man on Your Mind,Little River Band,1982,4:10,90.0,Soft Rock,45
Only the Lonely,The Motels,1982,3:45,128.0,New Wave,80
Who Can It Be Now?,Men at Work,1982,3:35,135.0,New Wave,84
Hold Me,Fleetwood Mac,1982,3:55,90.0,Rock,73
Eye in the Sky,The Alan Parsons Project,1982,4:20,102.0,Progressive Rock,80
I Keep Forgettin' (Every Time You're Near),Michael McDonald,1982,3:45,105.0,R&B,75
Get Down on It,Kool & the Gang,1982,4:28,110.0,Funk,70
Any Day Now,Ronnie Milsap,1982,3:31,100.0,Country,55
Make a Move on Me,Olivia Newton-John,1982,3:39,120.0,Pop,60
What's Forever For,Michael Murphey,1982,3:30,70.0,Country,50
Waiting on a Friend,The Rolling Stones,1982,4:33,93.0,Rock,65
Do I Do,Stevie Wonder,1982,8:11,105.0,Funk,70
Working for the Weekend,Loverboy,1982,3:40,130.0,Rock,75
You Can Do Magic,America,1982,3:40,110.0,Soft Rock,78
Did It in a Minute,Daryl Hall & John Oates,1982,3:30,125.0,Pop Rock,70
I Ran (So Far Away),A Flock of Seagulls,1982,3:50,140.0,New Wave,84
Somebody's Baby,Jackson Browne,1982,4:10,108.0,Soft Rock,72
Empty Garden (Hey Hey Johnny),Elton John,1982,4:09,90.0,Rock,45
Gloria,Laura Branigan,1982,4:35,125.0,Pop,70
Comin' In and Out of Your Life,Barbra Streisand,1982,3:55,98.0,Pop,50
Don't Stop Believin',Journey,1982,4:10,119.0,Rock,95
Love Will Turn You Around,Kenny Rogers,1982,3:38,115.0,Country,55
It's Gonna Take a Miracle,Deniece Williams,1982,3:43,95.0,Soul,60
Take It Away,Paul McCartney,1982,4:00,130.0,Rock,71
Oh No,Commodores,1982,3:20,115.0,Funk,66
Even the Nights Are Better,Air Supply,1982,4:00,92.0,Soft Rock,78
I've Never Been to Me,Charlene,1982,3:40,115.0,Pop,75
'65 Love Affair,Paul Davis,1982,4:00,95.0,Soft Rock,72
Heat of the Moment,Asia,1982,3:50,130.0,Rock,85
Take It Easy on Me,Little River Band,1982,3:54,120.0,Soft Rock,70
Pac-Man Fever,Buckner & Garcia,1982,2:52,135.0,Novelty,65
That Girl,Stevie Wonder,1982,4:10,105.0,Soul,75
Private Eyes,Daryl Hall & John Oates,1982,4:16,128.0,Pop Rock,85
You Got Lucky,Tom Petty and the Heartbreakers,1983,4:03,135.0,Rock,68
Don't Cry,Asia,1983,3:47,110.0,Rock,59
Breaking Us in Two,Joe Jackson,1983,4:12,118.0,New Wave,57
Fall in Love with Me,"Earth, Wind & Fire",1983,4:29,108.0,Funk,63
Far from Over,Frank Stallone,1983,4:33,128.0,Pop,60
I've Got a Rock 'n' Roll Heart,Eric Clapton,1983,4:19,130.0,Rock,55
It Might Be You,Stephen Bishop,1983,4:04,95.0,Soft Rock,58
"Tonight, I Celebrate My Love",Peabo BrysonandRoberta Flack,1983,4:14,75.0,Soul,62
True,Spandau Ballet,1983,6:18,115.0,New Wave,70
Pass the Dutchie,Musical Youth,1983,3:48,105.0,Reggae,65
Photograph,Def Leppard,1983,4:01,126.0,hard rock,77
Human Nature,Michael Jackson,1983,4:06,114.0,r&b,83
Try Again,Champaign,1983,4:12,98.0,r&b,59
Dead Giveaway,Shalamar,1983,4:08,112.0,r&b,57
Lawyers in Love,Jackson Browne,1983,4:07,124.0,rock,55
What About Me,Moving Pictures,1983,3:57,134.0,rock,56
My Love,Lionel Richie,1983,4:35,72.0,soul,79
I'm Still Standing,Elton John,1983,3:15,150.0,pop,82
Hot Girls in Love,Loverboy,1983,3:28,136.0,rock,69
It's a Mistake,Men at Work,1983,4:34,130.0,new wave,64
I'll Tumble 4 Ya,Culture Club,1983,2:56,128.0,new wave,71
All This Love,DeBarge,1983,5:10,95.0,soul,76
Your Love Is Driving Me Crazy,Sammy Hagar,1983,4:17,128.0,hard rock,63
Heartbreaker,Dionne Warwick,1983,4:34,100.0,soul,66
Faithfully,Journey,1983,4:30,70.0,rock,81
Steppin' Out,Joe Jackson,1983,4:10,138.0,new wave,61
Take Me to Heart,Quarterflash,1983,3:58,115.0,rock,58
(She's) Sexy + 17,Stray Cats,1983,3:25,155.0,rockabilly,74
You Can't Hurry Love,Phil Collins,1983,2:28,140.0,pop rock,88
Separate Ways (Worlds Apart),Journey,1983,5:23,130.0,hard rock,90
One on One,Daryl Hall & John Oates,1983,4:07,95.0,blue-eyed soul,72
We've Got Tonight,Kenny RogersandSheena Easton,1983,3:41,68.0,country pop,82
1999,Prince,1983,6:30,120.0,funk rock,92
Stray Cat Strut,Stray Cats,1983,3:54,140.0,rockabilly,77
Allentown,Billy Joel,1983,3:41,115.0,rock,80
Stand Back,Stevie Nicks,1983,4:07,122.0,rock,76
Tell Her About It,Billy Joel,1983,3:50,128.0,pop rock,79
Always Something There to Remind Me,Naked Eyes,1983,3:33,112.0,synth-pop,73
Truly,Lionel Richie,1983,3:35,72.0,soul,83
Dirty Laundry,Don Henley,1983,3:41,135.0,rock,74
The Girl Is Mine,Michael JacksonandPaul McCartney,1983,3:42,78.0,pop,88
Too Shy,Kajagoogoo,1983,3:24,124.0,new romantic,71
Goody Two-Shoes,Adam Ant,1983,3:23,138.0,new wave,75
Rock the Casbah,The Clash,1983,3:26,128.0,punk rock,85
Our House,Madness,1983,3:15,130.0,ska,78
Overkill,Men at Work,1983,3:15,114.0,new wave,82
Is There Something I Should Know?,Duran Duran,1983,3:32,126.0,new romantic,79
Gloria,Laura Branigan,1983,4:17,132.0,pop rock,87
Affair of the Heart,Rick Springfield,1983,3:35,120.0,pop rock,70
She's a Beauty,The Tubes,1983,4:10,116.0,rock,72
Solitaire,Laura Branigan,1983,4:15,70.0,pop,75
Don't Let It End,Styx,1983,3:28,85.0,arena rock,81
How Am I Supposed to Live Without You,Laura Branigan,1983,4:24,120.0,pop,75
China Girl,David Bowie,1983,3:58,124.0,rock,70
Come Dancing,The Kinks,1983,3:56,142.0,rock,65
"Promises, Promises",Naked Eyes,1983,3:56,118.0,synth-pop,68
Every Breath You Take,The Police,1983,3:57,113.0,New Wave,85
Billie Jean,Michael Jackson,1983,4:54,117.0,Pop,95
Flashdance... What a Feeling,Irene Cara,1983,3:59,121.0,Pop,88
Down Under,Men at Work,1983,3:57,132.0,Rock,87
Beat It,Michael Jackson,1983,4:18,137.0,Pop,93
Total Eclipse of the Heart,Bonnie Tyler,1983,7:05,131.0,Rock,89
Maneater,Daryl Hall & John Oates,1983,4:25,111.0,Pop,84
"Baby, Come to Me",Patti AustinandJames Ingram,1983,4:06,78.0,Soul,78
Maniac,Michael Sembello,1983,4:14,159.0,Pop,86
Sweet Dreams (Are Made of This),Eurythmics,1983,3:37,125.0,Synth-pop,90
Do You Really Want to Hurt Me,Culture Club,1983,3:50,131.0,New Wave,83
You and I,Eddie RabbittandCrystal Gayle,1983,3:56,85.0,Country,77
Come On Eileen,Dexys Midnight Runners,1983,4:33,115.0,New Wave,81
Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,4:30,95.0,Rock,79
She Works Hard for the Money,Donna Summer,1983,4:28,121.0,Disco,80
Never Gonna Let You Go,Sérgio Mendes,1983,4:01,70.0,Bossa Nova,75
Hungry Like the Wolf,Duran Duran,1983,3:53,144.0,New Wave,88
Let's Dance,David Bowie,1983,4:34,113.0,Dance-rock,91
Twilight Zone,Golden Earring,1983,3:50,119.0,Rock,70
I Know There's Something Going On,Frida,1983,3:50,105.0,Pop,65
Jeopardy,The Greg Kihn Band,1983,3:45,135.0,Rock,72
Electric Avenue,Eddy Grant,1983,3:45,114.0,Reggae,82
She Blinded Me with Science,Thomas Dolby,1983,3:32,120.0,Synth-pop,76
Africa,Toto,1983,4:55,93.0,Soft Rock,92
Little Red Corvette,Prince,1983,4:57,127.0,Pop,89
Back on the Chain Gang,The Pretenders,1983,3:36,147.0,New Wave,73
Up Where We Belong,Joe CockerandJennifer Warnes,1983,4:08,75.0,Pop,78
Mr. Roboto,Styx,1983,4:42,115.0,Rock,81
You Are,Lionel Richie,1983,4:18,76.0,Soul,77
Der Kommissar,After the Fire,1983,3:48,108.0,Synth-pop,71
Puttin' on the Ritz,Taco,1983,4:30,120.0,synth-pop,65
Sexual Healing,Marvin Gaye,1983,3:55,75.0,soul,85
(Keep Feeling) Fascination,The Human League,1983,3:17,110.0,synth-pop,70
Time (Clock of the Heart),Culture Club,1983,3:58,100.0,new wave,75
The Safety Dance,Men Without Hats,1983,2:59,125.0,new wave,80
Mickey,Toni Basil,1983,3:45,118.0,pop,78
I Won't Hold You Back,Toto,1983,4:52,90.0,soft rock,78
All Right,Christopher Cross,1983,3:54,132.0,soft rock,62
Straight from the Heart,Bryan Adams,1983,3:34,130.0,rock,73
Heart to Heart,Kenny Loggins,1983,5:24,88.0,soft rock,67
The Other Guy,Little River Band,1983,3:58,105.0,soft rock,60
Making Love Out of Nothing at All,Air Supply,1983,5:04,78.0,soft rock,80
Family Man,Daryl Hall & John Oates,1983,3:43,110.0,pop,72
Wanna Be Startin' Somethin',Michael Jackson,1983,6:02,110.0,funk,85
Stuck on You,Lionel Richie,1984,3:21,100.0,Soul,69
Oh Sherrie,Steve Perry,1984,3:39,130.0,Rock,76
The Glamorous Life,Sheila E.,1984,5:22,122.0,Funk,73
I Can Dream About You,Dan Hartman,1984,4:00,118.0,Pop,68
Sunglasses at Night,Corey Hart,1984,3:43,132.0,Rock,71
Borderline,Madonna,1984,3:59,118.0,Pop,82
